iter	Passed	Remaining
0	92	92106
1	101	50582
2	110	36853
3	130	32410
4	137	27302
5	140	23306
6	149	21204
7	155	19254
8	8	273	9	436	43187
10	487	43861
11	550	45355
12	646	49110
13	717	50555
14	739	48552
15	760	46788
16	857	49601
17	1004	54817
18	1099	56776
19	1146	56164
20	1151	53698
21	1227	54548
22	1262	53616
23	1332	54168
24	1344	52420
25	1393	52211
26	1425	51381
27	1450	50339
28	1460	48902
29	1466	47420
30	1508	47163
31	1512	45755
32	1553	45530
33	1567	44532
34	1570	43298
35	1573	42145
36	1576	41033
37	1581	40038
38	1614	39782
39	1617	38823
41	1483	33840
42	1495	33282
43	1505	32717
44	1557	33046
45	1596	33108
46	1611	32665
47	1616	32051
48	1619	31422
49	1621	30816
50	1624	30236
51	1634	29796
51	1873	34163
52	1887	33727
53	1959	34335
54	1996	34300
55	2071	34922
56	2074	34325
57	2208	35868
58	2251	35907
59	2256	35357
60	2259	34787
61	2263	34242
62	2266	33715
63	2293	33546
64	2388	34363
65	2439	34517
66	2493	34722
67	68	3041	41068	69	3093	41069	2702	35904
70	2715	35527
71	2763	35621
72	2794	35483
73	2869	35909
74	3023	37290
75	3061	37226
76	3081	36936
77	3153	37280
78	3223	37575
79	3314	38115
80	3318	37652
81	3395	38007
82	3477	38421
83	3482	37975
84	3485	37525
85	3498	37185
86	3584	37613
87	3597	37286
88	3703	37906
89	3773	38150
90	3824	38199
91	3827	37774
92	3830	37355
93	3837	36987
94	3906	37217
95	4030	37957
96	4066	37854
97	4170	38385
98	4179	38038
99	4190	37718
100	4196	37356
101	4201	36988
102	4206	36636
103	4241	36544
104	4278	36470
105	4288	36172
106	4377	36536
107	4388	36248
108	4426	36180
109	4440	35925
110	4450	35646
111	4509	35755
112	4558	35786
113	4583	35625
114	4625	35594
115	4653	35465
116	4673	35272
117	4681	34991
118	4685	34687
119	4694	34423
120	4734	34394
121	4814	34646
122	4969	35434
123	5008	35380
124	5124	35873
125	5173	35888
126	5289	36356
127	5347	36428
128	5350	36123
129	5363	35890
130	5370	35627
131	5375	35349
132	5579	36369
133	5671	36652
134	5730	36719
135	5747	36513
136	5887	37085
137	5893	36811
138	5965	36951
139	5977	36718
140	5984	36459
141	5987	36175
142	5991	35904
143	6039	35902
144	6049	35669
145	6054	35415
146	6154	35712
147	6194	35657
148	6197	35395
149	6282	35598
150	6352	35719
151	6370	35539
152	6480	35874
153	6521	35823
154	6533	35616
155	6680	36145
156	6684	35890
157	6793	36203
158	6806	36000
159	6918	36322
160	6951	36226
161	7052	36479
162	7106	36490
163	7147	36435
164	7153	36203
165	7242	36387
166	7249	36160
167	7267	35991
168	7271	35756
169	7315	35718
170	7325	35515
171	7338	35328
172	7451	35622
173	7493	35574
174	7531	35506
175	7628	35714
176	7634	35500
177	7668	35413
178	7817	35857
179	7852	35774
180	7862	35575
181	7865	35352
182	7875	35160
183	7913	35094
184	7921	34897
185	8010	35057
186	8101	35221
187	8242	35601
188	8291	35580
189	8297	35371
190	8302	35166
191	8337	35086
192	8347	34903
193	8350	34693
194	8359	34510
195	8367	34324
196	8424	34337
197	8496	34414
198	8506	34237
199	8610	34441
200	8678	34497
201	8702	34379
202	8847	34736
203	8863	34586
204	8942	34679
205	8949	34493
206	8972	34371
207	8975	34176
208	9010	34100
209	9013	33907
210	9017	33719
211	9054	33656
212	9130	33735
213	9244	33952
214	9335	34086
215	9385	34064
216	9432	34036
217	9495	34060
218	9502	33888
219	9509	33717
220	9649	34013
221	9670	33889
222	9686	33752
223	9691	33573
224	9717	33469
225	9808	33592
226	9915	33765
227	9919	33585
228	9922	33407
229	9931	33249
230	9941	33094
231	9949	32935
232	9955	32771
233	9969	32633
234	9988	32516
235	9991	32346
236	10000	32194
237	10019	32080
238	10029	31933
239	10039	31792
240	10055	31667
241	10066	31529
242	10071	31375
243	10074	31215
244	10148	31274
245	10261	31452
246	10264	31293
247	10281	31177
248	10415	31414
249	10501	31505
250	10505	31348
251	10508	31191
252	10511	31035
253	10530	30929
254	10539	30792
255	10569	30718
256	10647	30782
257	10682	30721
258	10751	30761
259	10788	30704
260	10795	30565
261	10802	30429
262	10813	30303
263	10890	30362
264	10896	30223
265	10904	30091
266	10907	29945
267	10955	29923
268	11014	29932
269	11047	29869
270	11111	29890
271	11151	29846
272	11191	29803
273	11263	29843
274	11338	29892
275	11380	29853
276	11411	29784
277	11439	29710
278	11444	29576
279	11479	29517
280	11497	29418
281	11641	29640
282	11647	29509
283	11722	29553
284	11792	29583
285	11802	29465
286	11845	29428
287	11894	29404
288	11897	29270
289	11902	29140
290	11907	29011
291	11911	28880
292	11913	28747
293	11916	28616
294	11919	28484
295	11934	28384
296	11943	28270
297	11949	28148
298	11968	28058
299	11971	27933
300	12075	28042
301	12125	28025
302	12186	28033
303	12218	27973
304	12311	28053
305	12391	28103
306	12450	28105
307	12458	27991
308	12462	27868
309	12473	27763
310	12652	28030
311	12746	28106
312	12795	28084
313	12827	28024
314	12830	27901
315	12833	27779
316	12836	27657
317	12840	27537
318	12969	27686
319	13031	27691
320	13041	27587
321	13049	27477
322	13053	27359
323	13088	27307
324	13096	27200
325	13143	27173
326	13245	27259
327	13250	27146
328	13253	27030
329	13257	26916
330	13315	26912
331	13360	26882
332	13506	27053
333	13509	26938
334	13512	26824
335	13518	26714
336	13556	26669
337	13567	26572
338	13571	26461
339	13574	26349
340	13577	26239
341	13583	26135
342	13586	26024
343	13590	25916
344	13593	25807
345	13596	25700
346	13635	25659
347	13713	25693
348	13741	25633
349	13790	25611
350	13853	25614
351	13874	25541
352	13911	25497
353	13923	25408
354	13967	25377
355	13993	25314
356	14199	25574
357	14257	25568
358	14269	25477
359	14400	25601
360	14456	25589
361	14475	25512
362	14640	25691
363	14695	25676
364	14701	25576
365	14724	25506
366	14727	25401
367	14730	25297
368	14755	25231
369	14844	25275
370	14931	25315
371	14936	25215
372	14939	25113
373	14943	25011
374	14963	24939
375	14967	24839
376	14971	24739
377	14991	24668
378	15008	24591
379	15034	24529
380	15061	24469
381	15068	24378
382	15079	24292
383	15082	24194
384	15085	24098
385	15089	24002
386	15092	23906
387	15126	23858
388	15153	23800
389	15207	23785
390	15251	23755
391	15275	23692
392	15309	23646
393	15355	23617
394	15400	23587
395	15466	23590
396	15672	23805
397	15687	23728
398	15811	23816
399	15862	23794
400	15901	23753
401	15944	23718
402	15954	23634
403	16004	23611
404	16008	23518
405	16038	23465
406	16155	23538
407	16182	23480
408	16212	23426
409	16234	23362
410	16269	23315
411	16278	23232
412	16285	23147
413	16291	23059
414	16299	22976
415	16347	22948
416	16487	23051
417	16497	22969
418	16710	23171
419	16718	23087
420	16968	23336
421	17037	23336
422	17059	23270
423	17064	23181
424	17068	23092
425	17071	23003
426	17075	22914
427	17080	22826
428	17083	22738
429	17087	22650
430	17136	22622
431	17168	22572
432	17311	22668
433	17316	22583
434	17329	22508
435	17371	22470
436	17448	22479
437	17466	22411
438	17572	22456
439	17608	22410
440	17808	22573
441	17819	22495
442	17915	22526
443	17942	22468
444	17990	22438
445	18023	22387
446	18138	22439
447	18270	22511
448	18283	22436
449	18392	22479
450	18418	22421
451	18426	22340
452	18501	22340
453	18518	22270
454	18564	22236
455	18569	22152
456	18572	22068
457	18577	21984
458	18651	21983
459	18733	21991
460	18785	21964
461	18812	21907
462	18816	21823
463	18867	21795
464	18925	21774
465	18940	21704
466	18981	21664
467	18985	21582
468	18989	21499
469	18992	21417
470	18996	21336
471	19000	21254
472	19004	21173
473	19008	21093
474	19012	21013
475	19016	20934
476	19044	20881
477	19047	20801
478	19050	20720
479	19054	20641
480	19057	20563
481	19062	20485
482	19065	20408
483	19076	20337
484	19080	20260
485	19110	20212
486	19186	20210
487	19286	20235
488	19330	20200
489	19384	20175
490	19474	20188
491	19519	20154
492	19551	20106
493	19555	20030
494	19558	19953
495	19564	19879
496	19567	19803
497	19570	19727
498	19573	19651
499	19576	19576
500	19585	19507
501	19590	19434
502	19596	19363
503	19600	19289
504	19603	19215
505	19612	19147
506	19650	19108
507	19654	19035
508	19658	18963
509	19662	18891
510	19666	18819
511	19669	18747
512	19672	18675
513	19676	18604
514	19679	18533
515	19683	18462
516	19694	18399
517	19701	18331
518	19708	18265
519	19743	18225
520	19771	18177
521	19776	18109
522	19780	18040
523	19788	17976527	20420	18254
528	20450	18208
529	20667	18327
530	20681	18266
531	20685	18197
532	20690	18128
533	20711	18074
534	20732	18019
535	20830	18032
536	20945	18058
537	21038	18066
538	21046	18000
539	21054	17935
540	21077	17882
541	21080	17813
542	21156	17806
543	21257	17818
544	21353	17827
545	21409	17802
546	21420	17739
547	21438	17682
548	21534	17690
549	21669	17729
550	21742	17717
551	21791	17685
552	21794	17617
553	21826	17571
554	21845	17515
555	21870	17465
556	21947	17455
557	22038	17457
558	22068	17410
559	22104	17367
560	22111	17303
561	22120	17239
562	22129	17176
563	22139	17115
564	22144	17049
565	22149	16983
566	22216	16965
567	22310	16968
568	22323	16909
569	22331	16846
570	22466	16879
571	22523	16853
572	22545	16800
573	22550	16736
574	22556	16672
575	22560	16607
576	22564	16542
577	22567	16476
578	22626	16451
579	22629	16386
580	22631	16321
581	22634	16256
582	22637	16191
583	22640	16127
584	22643	16063
585	22646	15999
586	22742	16001
587	22746	15938
588	22750	15875
589	22754	15812
590	22758	15750
591	22763	15688
592	22769	15627
593	22961	15694
594	23033	15678
595	23086	15648
596	23211	15668
597	23230	15616
598	23299	15597
599	23343	15562
600	23405	15538
601	23418	15482
602	23460	15445
603	23484	15397
604	23497	15341
605	23500	15279
606	23504	15217
607	23510	15158
608	23610	15158
609	23695	15149
610	23746	15118
611	23750	15057
612	23753	14996
613	23763	14939
614	23767	14878
615	23770	14817
616	23773	14757
617	23835	14733
618	23864	14688
619	23878	14635
620	23884	14576
621	23887	14516
622	23890	14457
623	23893630	24209	14157
631	24347	14177
632	24391	14141
633	24408	14090
634	24447	14052
635	24451	13994
636	24453	13935
637	24457	13876
638	24576	13884
639	245633	24280640	24693	13829
641	24720	13784
642	24838	13790
643	24900	13764
644	24912	13711
645	24917	13654
646	2492637	24034	13637
638	24050	13587
639	24055	13531
640	24060	13475
641	24065	13419645	24675652	25006	13288
653	25072	13264
654	25149	13246
655	25170	13199
656	25240	13177
657	252651	25041	13365
652	25084	13329
653	25139	13300
654	25165	13255
655	25186	13207
656	25232	13173
657	25247	13122
658	25287665	25650	12863
666	256660	25398667	257661	25486	13012
662	25507	12965
663	25664	12986
664	25740	12967
665	25760	12918
666	25877	12919
667	25925	12885
668	26010	12868
669	26023	12817
670	26027	12761
671	26041	12710
672	26048	12656
673	26061	12605
674	26079	12557
675	26145	12531
676	26181	12491
677	26187	12436
678	26205	12388
679	26285	12369
680	26440	12385
681	26448	12332
682	26520	12308
683	26586	12282
684	26605	12234
685	26608	12179
686	26611	12124
687	26615	12069
688	26618	12014
689	26621	11960
690	26626	11906
691	26630	11852
692	26691	11824
693	26794	11814
694	26858	11786
695	26949	11771
696	26968	11723
697	27042	11700
698	27046	11646
699	27057	11596
700	27083	11552
701	27140	11521
702	27164	11476
703	27173	11425
704	27201	11382
705	27216	11333
706	27231	11285
707	27241	11235
708	27330	11217
709	27340	11167
710	27418	11144
711	27498	11123
712	27615	11116
713	27632	11068
714	27640	11017
715	27693	10984
716	27720	10941
717	27832	10931
718	27839	10880
719	27843	10828
720	27847	10775
721	27853	10724
722	27858	10673
723	27868	10623
724	27895	10580
725	27900	10530
726	27904	10478
727	27937	10438
7725	27332	10315
726	27339	10266
727	27346	10217
728	27350	10167
729	27354	10117
730	27360	10068
731	27580	10097
732	27654	10073
733	27703	10039
734	27821	10030
735	27906	10009
736	27937	9969
737	27999	9940
738	28007	9891
739	28017	9843
740	28038	9800
741	28139	9784
742	28145	9735
743	28156	9688
744	28180	9645
745	28234	9613
746	28238	9564
747	28242	9514
748	28336	9495
749	28484	9494
750	28500	9449
751	28590	9428
752	28604	9382
753	28609	9334
754	28613	9285
755	28621	9237
756	28645	9195
757	28665	9151
758	28722	9120
759	28732	9073
760	28761	9032
761	28764	8984
762	28767	8935
763	28771	8887
764	28885	8873
765	28913	8832
766	29101	8840
767	29118	8796
768	29171	8762
769	29231	8731
770	29239	8684
771	29268	8644
772	29273	8596
773	29286	8551
774	29301	8506
775	29483	8510
776	29564	8485
777	29570	8437
778	29574	8390
779	29579	83783780	29672	8320
781	29731	8288
782	29737	8241
783	29832	8219
784	29885	8185
785	29982	8163
786	30070	8138
787	30079	8092
788	30082	8044
789	30085	7997
790	30102	7953
791	30106	7906
792	30110	7859
793	30113	7812
794	30123	7767
795	30135	7723
796	30142	7677
797	30147	7631
798	30208	7599
799	30274	7568
800	30287	7524
801	30373	7498
802	30467	7474
803	30510	7437
804	30629	7419
805	30681	7384
806	30735	7350
807	30739	7304
808	30831	7279
809	30836	7233
810	30840	7187
811	30843	7140
812	30874	7101
813	30878	7055
814	30885	7010
815	30984	6986
816	30992	6941
817	31125	6925
818	31211	6897
819	31284	6867
820	31342	6833
821	31431	6806
822	31443	6762
823	31562	6741
824	31603	6703
825	31639	6664
826	31642	6619
827	31645	6573
828	31654	6529
829	31663	6485
830	31681	6443
831	31684	6397
832	31736	6362
833	31747	6318
834	31752	6274
835	31755	6229
836	31760	6185
837	31764	6140
838	31767	6096
839	31770	6051
840	31774	6007
841	31777	5963
842	31781	5919
843	31786	5875
844	31789	5831
845	31793	5787
846	31796	5743
847	31799	5699
848	31806	5657
849	31817	5614
850	31918	5588
851	31962	5552
852	31974	5510
853	32035	5476
854	32043	5434
855	32099	5399
856	32156	5365
857	32186	5326
858	32236	5291
859	32243	5248
860	32278	5210
861	32287	5168
862	32291	5126
863	32326	5088
864	32331	5045
865	32379	5010
866	32414	4972
867	32441	4933
868	32445	4891
869	32449	4848
870	32453	4806
871	32457	4764
872	32461	4722
873	32493	4684
874	32501	4643
875	32506	4601
876	32510	4559
877	32512	4517
878	32515	4476
879	32520	4434
880	32523	4393
881	32526	4351
882	32529	4310
883	32534	4269
884	32542	4228
885	32543	4187
886	32592	4899	887	32661	4900	888	32718	4085
889	32732	4902	890	32795	4011
891	32802	3971
892	32804	3930
893	32811	3890
894	32901	3859
895	32926	3821
896	32932	3781
897	32942	3741
898	32958	3702
899	32962	3662
900	32965	3622
901	33022	3587
902	33067	3552
903	33085	3513
904	33093	3473
905	33141	3438
906	33237	3408
907	33255	3369
908	33258	3329
909	33261	3922	910	33315	3254
911	33335	3216
912	33342	3925	34336	2743
926	34350	2705
927	34415	2670
928	34453	2633
929	34475	2594
930	34501	2557
931	34508	2517
932	34542	2480
933	34556	2441
934	34605	2405
935	34618	2367
936	34660	2330
937	34663	2291
938	34665	2251
939	927	33738	2617
928	33745	2579
929	33760	2942	930	33776	2943	34767	2062
944	34774	2023
945	34781	1985
946	34786	1946
947	34792	1908
948	34799	1870
949	34803	1831
950	34807	1793
951	939	33898	2163
940	33903	2125
941	33937	2089
942	33942	2051
943	33962	2014
944	34014	1979
945	34020	1941
946	34043	1905
947	34056	1868
948	34059	1830
949	34109	1795
950	34127	1758
951	34157	1722
952	34164	1684
953	34175	1647
954	34185	1610
955	34197	1573
956	34202	1536
957	34210	1499
958	34220	1463
959	34229	1426
960	34241	1389
961	34251	1352
962	34277	1316
963	34282	1280
964	34284	1243
965	34292	1206
966	34303	1170
967	34339	1135
968	34356	1099
969	34360	1062
970	34373	1026
971	34374	990
972	34376	953
973	34377	917
974	34378	881
975	34379	845
976	34380	809
977	34381	773
978	34382	737
979	34383	701
980	34384	665
981	34385	630
982	34386	594
983	34387	559
984	34388	523
985	34389	488
986	34390	452
987	34390	417
988	34391	382
989	34392	347
990	34393	312
991	34394	277
992	34395	242
993	34396	207
994	34397	172
995	34398	138
996	34399	103
997	34400	68
998	34401	34
999	34402	0
